Name,Price,Category,Link,Image,Description
Essential BCAA 2:1:1 Powder,£24.99,BCAA,https://www.myprotein.com/sports-nutrition/essential-bcaa-2-1-1-powder/10529280.html,https://static.thcdn.com/images/large/webp//productimg/1600/1600/10529280-2114889446264698.jpg,"Nutritional information may vary depending on flavour. An everyday blend of the essential amino acids — leucine, isoleucine, and valine, these naturally occur in protein, which helps to build and repair new muscle1 — making sure your body’s prepared to tackle your next training session. Get yours in over 15 flavours, with delicious favourites including Blue Raspberry and Watermelon."
BCAA Energy Drink (6 Pack),£27.99,BCAA,https://www.myprotein.com/sports-nutrition/essential-bcaa-2-1-1-powder/10529280.html,https://static.thcdn.com/images/large/webp//productimg/1600/1600/10529280-2114889446264698.jpg,"Nutritional information may vary depending on flavour. An everyday blend of the essential amino acids — leucine, isoleucine, and valine, these naturally occur in protein, which helps to build and repair new muscle1 — making sure your body’s prepared to tackle your next training session. Get yours in over 15 flavours, with delicious favourites including Blue Raspberry and Watermelon."
Essential BCAA 4:1:1 Powder,£19.99,BCAA,https://www.myprotein.com/sports-nutrition/bcaa-energy-drink-6-pack/12692347.html,https://static.thcdn.com/images/large/webp//productimg/1600/1600/12692348-7474896385252590.jpg,"Quench your thirst with our refreshing BCAA Energy Drink — packed with amino acids, essential vitamins, and caffeine to provide that perfect pick me up, anytime of the day. Plus, with zero fat, zero sugar, and zero calories, we’ve gone the extra mile to deliver on taste and unrivalled nutritionals — without the unwanted extras."
Vegan BCAA Sustain Powder,£20.99,BCAA,https://www.myprotein.com/sports-nutrition/bcaa-energy-drink-6-pack/12692347.html,https://static.thcdn.com/images/large/webp//productimg/1600/1600/12692348-7474896385252590.jpg,"Quench your thirst with our refreshing BCAA Energy Drink — packed with amino acids, essential vitamins, and caffeine to provide that perfect pick me up, anytime of the day. Plus, with zero fat, zero sugar, and zero calories, we’ve gone the extra mile to deliver on taste and unrivalled nutritionals — without the unwanted extras."
BCAA Sustain (Sample),£22.99,BCAA,https://www.myprotein.com/sports-nutrition/essential-bcaa-4-1-1-powder/10830546.html,https://static.thcdn.com/images/small/webp/productimg/1600/1600/10830546-4124663400886366.jpg,"Branched-chain amino acids naturally occur in protein, which helps to build and repair new muscle1 — getting you back to the gym session after session. We’ve created a formula with a ratio of 4:1:1 of leucine, isoleucine, and valine — important for all fitness goals."
Clear Protein Starter Pack,£53.98,Bundles,https://www.myprotein.com/sports-nutrition/clear-protein-starter-pack/12777642.html,https://static.thcdn.com/images/large/webp//productimg/1600/1600/12918419-1044890236654172.jpg,"It’s never been easier to smash your goals and take your nutrition to the next level with our Clear Protein Starter Pack. Clear Whey Isolate is not just another protein shake. We’ve changed the game, We’ve taken high-quality hydrolysed whey protein isolate and created a light and refreshing alternative — that’s more like juice than a milky protein shake. What’s in the Clear Protein Starter Pack? Clear Whey Isolate (20 Servings) Each delicious serving is packed with 20g of protein, that helps to grow and maintain important muscle — important whatever your fitness goal. Protein also helps you feel fuller for longer. And, with it being zero fat and sugar, and only 90 calories per shake, it’s the perfect way to stay hydrated throughout the day — without undoing all of your hard work. Shaker Our shaker helps to keep you hydrated throughout the day, and the blending ball has been designed to give you a smooth shake whatever supplement you’re mixing. It’s an essential for your gym bag to stay fuelled, wherever you are. Key Benefits  Essential supplements tailored to your goal  The fuel you need to succeed  Great value for money"
Collagen Starter Pack,£40.98,Bundles,https://www.myprotein.com/sports-nutrition/clear-protein-starter-pack/12777642.html,https://static.thcdn.com/images/large/webp//productimg/1600/1600/12918419-1044890236654172.jpg,"It’s never been easier to smash your goals and take your nutrition to the next level with our Clear Protein Starter Pack. Clear Whey Isolate is not just another protein shake. We’ve changed the game, We’ve taken high-quality hydrolysed whey protein isolate and created a light and refreshing alternative — that’s more like juice than a milky protein shake. What’s in the Clear Protein Starter Pack? Clear Whey Isolate (20 Servings) Each delicious serving is packed with 20g of protein, that helps to grow and maintain important muscle — important whatever your fitness goal. Protein also helps you feel fuller for longer. And, with it being zero fat and sugar, and only 90 calories per shake, it’s the perfect way to stay hydrated throughout the day — without undoing all of your hard work. Shaker Our shaker helps to keep you hydrated throughout the day, and the blending ball has been designed to give you a smooth shake whatever supplement you’re mixing. It’s an essential for your gym bag to stay fuelled, wherever you are. Key Benefits  Essential supplements tailored to your goal  The fuel you need to succeed  Great value for money"
Clear Whey Starter Pack,£36.98,Bundles,https://www.myprotein.com/sports-nutrition/collagen-starter-pack/13967064.html,https://static.thcdn.com/images/large/webp//productimg/1600/1600/13967064-1355005792994073.jpg,"Collagen is the most abundant protein in the body and is mainly found in skin, hair, nails, and other connective tissues. As we age, our natural collagen levels start to decline. That's where our Collagen Protein Starter Pack comes in. Our starter pack is perfect addition to your daily routine, boosting your daily collagen intake, no matter how hectic your lifestyle. What’s in the Collagen Starter Pack?  Plant Collagen (Sample)(Lemon and Lime) Collagen Pancakes (Sample)(Chocolate) Collagen Powder (Sample)(Grape) Shaker"
Whey Protein Starter Pack,£13.98,Bundles,https://www.myprotein.com/sports-nutrition/collagen-starter-pack/13967064.html,https://static.thcdn.com/images/large/webp//productimg/1600/1600/13967064-1355005792994073.jpg,"Collagen is the most abundant protein in the body and is mainly found in skin, hair, nails, and other connective tissues. As we age, our natural collagen levels start to decline. That's where our Collagen Protein Starter Pack comes in. Our starter pack is perfect addition to your daily routine, boosting your daily collagen intake, no matter how hectic your lifestyle. What’s in the Collagen Starter Pack?  Plant Collagen (Sample)(Lemon and Lime) Collagen Pancakes (Sample)(Chocolate) Collagen Powder (Sample)(Grape) Shaker"
Impact Whey Variety Pack,£43.99,Bundles,https://www.myprotein.com/sports-nutrition/clear-whey-starter-pack/14001321.html,https://static.thcdn.com/images/large/webp//productimg/1600/1600/14001321-7554996180734552.jpg,"Making the right nutritional choices isn’t always easy or convenient. That’s why we’ve made things super-simple with our Clear Whey Starter Pack.                                     We’re here to support your fitness journey with a selection of our fitness faves, from our award-winning refreshingly juicy Clear Whey Isolate, to our tastiest protein bar ever — giving you everything you need to get started.   The Clear Whey Starter Pack includes:  Clear Whey Isolate (20 Servings) Impact Protein Bar (6 Bars)   Plastic Shaker (Standard or Mini)"
